FID,Permit_ID,Permit_Nam,Address,City,State,Zip,County,PrimaryWas,PrimaryOpe,PermitStat,PermitExpD,Status,Latitude,Longitude,counties_FID,counties_OBJECTID,counties_PERIMETER,counties_CO_ABBR,counties_ACRES,counties_Shape_Leng,counties_RO,counties_GlobalID,counties_SHAPE_Le_1,counties_SHAPE_Area
"139",9401-INDUS-,Domtar Paper Company  Unlined Landfill #2,Sandhill Road,Plymouth,NC,"27962",Washington,Indus,LF,InactiveClosed,,Closed,35.844850999999998,-76.777220999999997,"45",45.000000000000000,146686.421875000000000,WASH,265590.187500000000000,481253.712706000020262,WARO,{94A2E4EB-F585-446B-B7F3-B86AC90EF7F5},181082.363093018357176,11569100636.299999237060547
"140",9401-INDUS-1980,Weyerhaeuser Lined Landfill #3,NC Highway 149 N.,Plymouth,NC,"27962",Washington,Indus,LF,InactiveClosed,,Open,35.842281000000000,-76.777388000000002,"45",45.000000000000000,146686.421875000000000,WASH,265590.187500000000000,481253.712706000020262,WARO,{94A2E4EB-F585-446B-B7F3-B86AC90EF7F5},181082.363093018357176,11569100636.299999237060547
"141",9401-INDUS-2008,"Domtar Paper Company Landfill, Lined #3",NC Highway 149 N.,Plymouth,NC,"27962",Washington,Indus,LF,Active,2018/05/22,Open,35.842281000000000,-76.777388000000002,"45",45.000000000000000,146686.421875000000000,WASH,265590.187500000000000,481253.712706000020262,WARO,{94A2E4EB-F585-446B-B7F3-B86AC90EF7F5},181082.363093018357176,11569100636.299999237060547
"142",9402-MSWLF-1980,Washington County Landfill,718 Landfill Road,Mackeys,NC,"27970",Washington,MSW,LF,InactiveClosed,,Closed,35.912351999999998,-76.665221000000003,"45",45.000000000000000,146686.421875000000000,WASH,265590.187500000000000,481253.712706000020262,WARO,{94A2E4EB-F585-446B-B7F3-B86AC90EF7F5},181082.363093018357176,11569100636.299999237060547
"143",9404-CDLF-1996,Washington County C&D Landfill,718 Landfill Road,Roper,NC,"27970",Washington,CD,LF,Active,2017/06/28,Open,35.918661000000000,-76.664961000000005,"45",45.000000000000000,146686.421875000000000,WASH,265590.187500000000000,481253.712706000020262,WARO,{94A2E4EB-F585-446B-B7F3-B86AC90EF7F5},181082.363093018357176,11569100636.299999237060547
"144",94A-DEMO-,Washington County,Adams Street,Plymouth,NC,"27962",Washington,CD,LF,InactiveClosed,,Closed,35.862090999999999,-76.747170999999994,"45",45.000000000000000,146686.421875000000000,WASH,265590.187500000000000,481253.712706000020262,WARO,{94A2E4EB-F585-446B-B7F3-B86AC90EF7F5},181082.363093018357176,11569100636.299999237060547
"145",9502-CDLF-1989,Watauga County C&D Landfill,336 Landfill Road,Boone,NC,"28607",Watauga,CD,LF,InactiveClosed,,Closed,36.221608000000003,-81.636398999999997,"24",24.000000000000000,133521.765625000000000,WATA,200036.218750000000000,438062.624794999952428,WSRO,{8D2281D4-A410-4C75-8C6D-A0F05BDEF0B9},165665.951715588365914,8713572255.030000686645508
"146",9502-MSWLF-1984,Watauga County Landfill,U.S. Hwy 421,Boone,NC,"28607",Watauga,MSW,LF,InactiveClosed,,Closed,36.220018000000003,-81.630072999999996,"24",24.000000000000000,133521.765625000000000,WATA,200036.218750000000000,438062.624794999952428,WSRO,{8D2281D4-A410-4C75-8C6D-A0F05BDEF0B9},165665.951715588365914,8713572255.030000686645508
"147",9601-CDLF-1997,Wayne County CDLF,460-B South Landfill Road,Dudley,NC,"28333",Wayne,CD,LF,Active,2008/07/01,Open,35.289721000000000,-78.071561000000003,"6",6.000000000000000,174751.765625000000000,WAYN,356469.250000000000000,573331.446435000048950,WARO,{99D88689-A279-48A5-A1BA-CAF200C5E0CA},214578.931683179136598,15527790010.100000381469727
"148",9601-MSWLF-1981,Wayne County Landfill,460B Landfill Road,Dudley,NC,"28333",Wayne,MSW,LF,InactiveClosed,2008/07/01,Closed,35.289369000000001,-78.072737000000004,"6",6.000000000000000,174751.765625000000000,WAYN,356469.250000000000000,573331.446435000048950,WARO,{99D88689-A279-48A5-A1BA-CAF200C5E0CA},214578.931683179136598,15527790010.100000381469727
"149",9602-MSWLF-1981,Wayne County Landfill,704 Hinnant Road,Goldsboro,NC,"27863",Wayne,MSW,LF,InactiveClosed,,Closed,35.478895999999999,-78.005013000000005,"6",6.000000000000000,174751.765625000000000,WAYN,356469.250000000000000,573331.446435000048950,WARO,{99D88689-A279-48A5-A1BA-CAF200C5E0CA},214578.931683179136598,15527790010.100000381469727
"150",9604-CDLF-,Seymour Johnson AFB,Collier Avenue,Goldsboro,NC,"27531",Wayne,CD,LF,InactiveClosed,,Closed,35.353299000000000,-77.974548999999996,"6",6.000000000000000,174751.765625000000000,WAYN,356469.250000000000000,573331.446435000048950,WARO,{99D88689-A279-48A5-A1BA-CAF200C5E0CA},214578.931683179136598,15527790010.100000381469727
"151",9606-MSWLF-1998,Wayne County Landfill,460B South Landfill Road,Dudley,NC,"28333",Wayne,MSW,LF,Active,2009/06/22,Open,35.289721999999998,-78.071387999999999,"6",6.000000000000000,174751.765625000000000,WAYN,356469.250000000000000,573331.446435000048950,WARO,{99D88689-A279-48A5-A1BA-CAF200C5E0CA},214578.931683179136598,15527790010.100000381469727
"152",9701-MSWLF-1988,Wilkes County Landfill,Poplar Grove Road (S.R. 1210),Wilkesboro,NC,"28697",Wilkes,MSW,LF,InactiveClosed,,Closed,36.117871000000001,-81.198158000000006,"23",23.000000000000000,216503.140625000000000,WILK,485694.343750000000000,710310.736471000011079,WSRO,{976BC0C8-1730-490E-A791-FD8A439132BF},268605.881049837742466,21156832622.400001525878906
"153",9702-MSWLF-1975,Wilkes County Landfill,Greenhorn Road (S.R. 1931),Ronda,NC,"28621",Wilkes,MSW,LF,InactiveClosed,,Closed,36.281002999999998,-80.927243000000004,"23",23.000000000000000,216503.140625000000000,WILK,485694.343750000000000,710310.736471000011079,WSRO,{976BC0C8-1730-490E-A791-FD8A439132BF},268605.881049837742466,21156832622.400001525878906
"154",9703-INDUS-1981,Louisiana-Pacific Corporation,1151 ABTCo Road,N Wilkesboro,NC,"28659",Wilkes,Indus,LF,Active,2007/11/04,Open,36.201281999999999,-81.039216999999994,"23",23.000000000000000,216503.140625000000000,WILK,485694.343750000000000,710310.736471000011079,WSRO,{976BC0C8-1730-490E-A791-FD8A439132BF},268605.881049837742466,21156832622.400001525878906
"155",9704-MSWLF-1993,Wilkes County MSWLF,9219 Elkin Highway,Roaring River,NC,"28669",Wilkes,MSW,LF,Active,2011/06/30,Open,36.207611000000000,-80.989811000000003,"23",23.000000000000000,216503.140625000000000,WILK,485694.343750000000000,710310.736471000011079,WSRO,{976BC0C8-1730-490E-A791-FD8A439132BF},268605.881049837742466,21156832622.400001525878906
"156",97A-DEMO-,Rummell Roberts Gregory,Somers Road,Hamptonville,NC,"27020",Wilkes,CD,LF,InactiveClosed,,Closed,36.125771999999998,-80.896704000000000,"23",23.000000000000000,216503.140625000000000,WILK,485694.343750000000000,710310.736471000011079,WSRO,{976BC0C8-1730-490E-A791-FD8A439132BF},268605.881049837742466,21156832622.400001525878906
"157",97B-DEMO-,Michael Roberts,Somers Road,Hamptonville,NC,"27020",Wilkes,CD,LF,InactiveClosed,,Closed,36.125771999999998,-80.896704000000000,"23",23.000000000000000,216503.140625000000000,WILK,485694.343750000000000,710310.736471000011079,WSRO,{976BC0C8-1730-490E-A791-FD8A439132BF},268605.881049837742466,21156832622.400001525878906
"158",9801-CDLF-1997,Wilson County CDLF,Landfill Road (S.R. 1503),Wilson,NC,"27893",Wilson,CD,LF,InactiveClosed,,Open,35.716158999999998,-77.848823999999993,"50",50.000000000000000,132574.046875000000000,WILS,239491.078125000000000,434953.318022000021301,RRO,{3C972145-27DD-41E5-9855-92CEF7D9AD4A},163373.969614512694534,10432224100.500000000000000
"159",9801-MSWLF-1990,Wilson County Landfill,Landfill Road (S.R. 1503),Wilson,NC,"27893",Wilson,MSW,LF,InactiveClosed,,Closed,35.714421000000002,-77.851898000000006,"50",50.000000000000000,132574.046875000000000,WILS,239491.078125000000000,434953.318022000021301,RRO,{3C972145-27DD-41E5-9855-92CEF7D9AD4A},163373.969614512694534,10432224100.500000000000000
"160",9802TP-CDLF-,Phoenix Recycling Site #2 (stockpiled 1999),7346 Rock Ridge School Road,Kenly,NC,"27542",Wilson,CD,LF,InactiveClosed,,Closed,35.708041999999999,-78.090506000000005,"50",50.000000000000000,132574.046875000000000,WILS,239491.078125000000000,434953.318022000021301,RRO,{3C972145-27DD-41E5-9855-92CEF7D9AD4A},163373.969614512694534,10432224100.500000000000000
"161",9809-CDLF-,Wilson County Westside C&D Landfill,2400 NC Hwy 42 East,Wilson,NC,"27893",Wilson,CD,LF,Active,2009/09/17,Open,35.717291000000003,-77.856960999999998,"50",50.000000000000000,132574.046875000000000,WILS,239491.078125000000000,434953.318022000021301,RRO,{3C972145-27DD-41E5-9855-92CEF7D9AD4A},163373.969614512694534,10432224100.500000000000000
"162",9901-MSWLF-,Yadkin County MSWLF (31.8),Sizemore Road,Yadkinville,NC,"27055",Yadkin,MSW,LF,InactiveClosed,,Closed,36.191040999999998,-80.634080999999995,"28",28.000000000000000,137763.218750000000000,YADK,216142.593750000000000,451978.193755000014789,WSRO,{474128D6-8A0E-43DF-9A62-DC2D6A6E5A55},170768.461243944242597,9415165397.500000000000000
"163",9902-CDLF-1993,Yadkin County C&D Landfill,1149 Landfill Road,Yadkinville,NC,"27055",Yadkin,CD,LF,InactivePermitted,,Open,36.181361000000003,-80.637281000000002,"28",28.000000000000000,137763.218750000000000,YADK,216142.593750000000000,451978.193755000014789,WSRO,{474128D6-8A0E-43DF-9A62-DC2D6A6E5A55},170768.461243944242597,9415165397.500000000000000
"164",9902-MSWLF-1981,Yadkin County MSW Landfill,Sizemore Road (S.R. 1589),Yadkinville,NC,"27055",Yadkin,MSW,LF,InactiveClosed,,Closed,36.179808000000001,-80.638790999999998,"28",28.000000000000000,137763.218750000000000,YADK,216142.593750000000000,451978.193755000014789,WSRO,{474128D6-8A0E-43DF-9A62-DC2D6A6E5A55},170768.461243944242597,9415165397.500000000000000
"165",P0133-MSWLF-1983,"Albemarle, City Of",Valley Drive (S.R. 1720),Albemarle,NC,"28001",Stanly,MSW,LF,InactiveClosed,,Closed,35.304392999999997,-80.151128000000000,"69",69.000000000000000,166794.796875000000000,STAN,258886.562500000000000,547225.909819000051357,MRO,{39B7E4BB-6BFC-43A3-BF1B-64C17E33FAA9},204665.350589295267127,11277091742.600000381469727
"166",P0540-DEMO-,Beaufort County,The Dirt Road,Washington,NC,"27889",Beaufort,CD,LF,InactiveClosed,,Closed,35.592770999999999,-77.119296000000006,"57",57.000000000000000,265110.375000000000000,BEAU,613372.375000000000000,869782.943220000015572,WARO,{3F90AF96-A239-4317-B8EF-C2E07E68ED04},325932.636219129839446,26718483297.400001525878906
"167",P0549-MSWLF-,Bladen County,NC Hwy 87 Bypass,Elizabethtown,NC,"28337",Bladen,MSW,LF,InactiveClosed,,Closed,34.610267000000000,-78.587231000000003,"90",90.000000000000000,256743.343749999970896,BLAD,568139.562500000000000,842332.124650000012480,FRO,{51153D9A-2B0F-4EBC-A58A-0CBDF9AFFF7D},312205.998888352129143,24748144468.099998474121094
"168",1303-TIRELF-1988,US Tire Recycling Partners LP,6322 Poplar Tent Road,Concord,NC,"28027",Cabarrus,Tire,LF,Active,2016/06/30,Open,35.406914000000000,-80.681849000000000,"99",99.000000000000000,133645.343750000000000,CABA,233367.062500000000000,438468.114614000020083,MRO,{E9C26BAB-510F-4B2B-8DA3-1DC7273999E0},164101.209806138969725,10165462414.899999618530273
"169",4113-TIRELF-,"Tires Inc., Guilford County",228 Hwy 68 S.,Greensboro,NC,"27409",Guilford,Tire,LF,InactiveClosed,,Closed,36.073878999999998,-79.960386000000000,"2",2.000000000000000,166183.500000000029104,GUIL,420968.937500000000000,545220.367738000000827,WSRO,{89252321-2FBA-4FB3-A6E8-C6BAEFC91FAD},205797.586927112948615,18337394618.900001525878906
"170",4304-TIRELF-1992,Central Carolina Tire Monofill,1616 McKoy Town Road,Cameron,NC,"28326",Harnett,Tire,LF,Active,2016/07/26,Open,35.251282000000003,-79.157971000000003,"64",64.000000000000000,179126.390625000000000,HARN,384759.031250000000000,587683.883751000044867,FRO,{BC1FE3D8-89FA-4DCF-82F8-5795187F5699},219816.904241785727208,16760093161.899999618530273
"171",70A-TIRELF-1987,Interstate Tire Disposal Serv,S.R. 1169,Elizabeth City,NC,"27909",Pasquotank,Tire,LF,InactiveClosed,,Closed,36.249191000000003,-76.202899000000002,"21",21.000000000000000,162068.828125000000000,PASQ,185082.437500000000000,531720.831868999986909,WARO,{62A31208-3EBC-4B00-8231-0523747E3DB9},201302.989149849279784,8062185261.479999542236328
"172",1910-STRUC-2015,Brickhaven No. 2,1473 Moncure-Flatwood Road,Moncure,NC,"27559",Chatham,CCR,SF,Active,,Closed,35.595999999999997,-79.010000000000005,"49",49.000000000000000,223043.875000000000000,CHAT,453690.218750000000000,731769.814848999958485,RRO,{FAF8F74D-973B-44F9-A126-D19513845BEA},274870.074203153199051,19762733485.900001525878906
"173",5306-STRUC-2015,Colon Mine Site,352 Brickyard Road,Sanford,NC,"27322",Lee,CCR,SF,Active,,Closed,35.534999999999997,-79.144000000000005,"61",61.000000000000000,126332.328125000014552,LEE,165914.546875000000000,414475.335833000019193,RRO,{8206B83F-9B4A-4CE4-8A0E-79AE3F36AE73},155338.798022442089859,7227233078.539999961853027
"174",0101-MSWLF-1979,Alamance County Landfill,3066 Swepsonville Road (S.R. 2158),Graham,NC,"27253",Alamance,MSW,LF,InactiveClosed,,Closed,36.015878999999998,-79.344181000000006,"3",3.000000000000000,143114.546875000000000,ALAM,278127.031250000000000,469534.986552999995183,WSRO,{657D864A-A133-4A3F-A67B-823E75BC6C75},177272.968716836621752,12115206198.500000000000000
"175",0104-CDLF-1993,Austin Quarter C&D Unit,2701 Austin Quarter Road,Graham,NC,"27253",Alamance,CD,LF,Active,2015/12/16,Open,35.929464000000003,-79.297787000000000,"3",3.000000000000000,143114.546875000000000,ALAM,278127.031250000000000,469534.986552999995183,WSRO,{657D864A-A133-4A3F-A67B-823E75BC6C75},177272.968716836621752,12115206198.500000000000000
"176",0104-MSWLF-1994,Austin Quarter SWM Facility,2701 Austin Quarter Road,Graham,NC,"27253",Alamance,MSW,LF,Active,2015/12/16,Open,35.930320999999999,-79.293475999999998,"3",3.000000000000000,143114.546875000000000,ALAM,278127.031250000000000,469534.986552999995183,WSRO,{657D864A-A133-4A3F-A67B-823E75BC6C75},177272.968716836621752,12115206198.500000000000000
"177",0105-CDLF-1998,Cobles C&D Landfill,5833 Foster Store Road,Liberty,NC,"27298",Alamance,CD,LF,Active,2014/01/30,Open,35.950791000000002,-79.530304000000001,"3",3.000000000000000,143114.546875000000000,ALAM,278127.031250000000000,469534.986552999995183,WSRO,{657D864A-A133-4A3F-A67B-823E75BC6C75},177272.968716836621752,12115206198.500000000000000
"178",0107-LCID-2014,Key Properties LCID Landfill,2380 Sandy Cross Road,Burlington,NC,"27217",Alamance,LCID,LF,Active,2019/04/24,Open,36.143768999999999,-79.359064000000004,"3",3.000000000000000,143114.546875000000000,ALAM,278127.031250000000000,469534.986552999995183,WSRO,{657D864A-A133-4A3F-A67B-823E75BC6C75},177272.968716836621752,12115206198.500000000000000
"179",0201-CDLF-1997,Alexander County CDLF,2500 Paynes Dairy Road,Taylorsville,NC,"28681",Alexander,CD,LF,Active,2015/11/10,Open,35.834625000000003,-81.149523000000002,"4",4.000000000000000,116938.171874999985448,ALEX,168640.984375000000000,383654.655145999975502,MRO,{7E5E9B9F-FC99-49A1-868C-3D6223A107E3},144599.548259018512908,7345996918.970000267028809
"180",0201-MSWLF-1979,Alexander County Landfill,Paynes Dairy Road (S.R. 1620),Taylorsville,NC,"28681",Alexander,MSW,LF,InactiveClosed,,Closed,35.833500999999998,-81.153401000000002,"4",4.000000000000000,116938.171874999985448,ALEX,168640.984375000000000,383654.655145999975502,MRO,{7E5E9B9F-FC99-49A1-868C-3D6223A107E3},144599.548259018512908,7345996918.970000267028809
"181",0302-MSWLF-1981,Alleghany County Landfill,Osborne Road (S.R. 1138),Sparta,NC,"28675",Alleghany,MSW,LF,InactiveClosed,,Closed,36.493661000000003,-81.149540999999999,"8",8.000000000000000,132949.109375000000000,ALLE,150006.015625000000000,436183.860266999981832,WSRO,{B3BCFF5C-D969-4C09-873C-2F9281E48FFA},165451.638271064584842,6534257979.839999198913574
"182",0401-MSWLF-1973,Anson County Landfill,Pit Road (S.R. 1801),Lilesville,NC,"28091",Anson,MSW,LF,InactiveClosed,,Closed,34.933458000000002,-79.936969000000005,"83",83.000000000000000,175357.609375000000000,ANSO,343568.062500000000000,575319.072076000040397,FRO,{35B1E8EA-3E78-4771-9F71-E46E565F569E},214402.929740997380577,14965815718.299999237060547
"183",0403-MSWLF-2000,Chambers Development MSWLF,375 Dozer Road,Polkton,NC,"28135",Anson,MSW,LF,InactiveClosed,2011/07/21,Open,35.005136999999998,-80.160736000000000,"83",83.000000000000000,175357.609375000000000,ANSO,343568.062500000000000,575319.072076000040397,FRO,{35B1E8EA-3E78-4771-9F71-E46E565F569E},214402.929740997380577,14965815718.299999237060547
"184",0403-MSWLF-2010,Chambers Development MSWLF,375 Dozer Road,Polkton,NC,"28135",Anson,MSW,LF,Active,2016/12/20,Open,35.005136999999998,-80.160736000000000,"83",83.000000000000000,175357.609375000000000,ANSO,343568.062500000000000,575319.072076000040397,FRO,{35B1E8EA-3E78-4771-9F71-E46E565F569E},214402.929740997380577,14965815718.299999237060547
"185",0501-MSWLF-1980,Ashe County Landfill,Willie Brown Road (S.R. 1558),Crumpler,NC,"28617",Ashe,MSW,LF,InactiveClosed,,Closed,36.517727999999998,-81.366607000000002,"7",7.000000000000000,159013.593750000000000,ASHE,273892.968750000000000,521697.103961999993771,WSRO,{573CF812-4E38-4187-ABE4-1DCC2F20FBA4},197779.983101630670717,11930770237.000000000000000
"186",0501-MSWLF-1993,Ashe County Landfill,739 Fred Pugh Road,Crumpler,NC,"28617",Ashe,MSW,LF,Active,2014/10/12,Open,36.521357999999999,-81.369125999999994,"7",7.000000000000000,159013.593750000000000,ASHE,273892.968750000000000,521697.103961999993771,WSRO,{573CF812-4E38-4187-ABE4-1DCC2F20FBA4},197779.983101630670717,11930770237.000000000000000
"187",0601-MSWLF-1987,Avery County Landfill,Brushy Creek Road (S.R. 1101),Newland,NC,"28657",Avery,MSW,LF,InactiveClosed,,Closed,35.947037000000002,-81.993323000000004,"27",27.000000000000000,131006.046875000000000,AVER,158360.890625000000000,429808.999376999912784,ARO,{AE4E47CE-7603-49F5-97F0-9383E9904477},162362.969669999351026,6898195954.060000419616699
"188",0603-CDLF-1996,Avery County C&D Landfill,2175 Brushy Creek Road,Spruce Pine,NC,"28777",Avery,CD,LF,Active,2016/04/13,Open,35.960746000000000,-81.970637999999994,"27",27.000000000000000,131006.046875000000000,AVER,158360.890625000000000,429808.999376999912784,ARO,{AE4E47CE-7603-49F5-97F0-9383E9904477},162362.969669999351026,6898195954.060000419616699
"189",0702-MSWLF-1987,Beaufort County Landfill,S.R. 1334,Bath,NC,"27889",Beaufort,MSW,LF,InactiveClosed,,Closed,35.471246000000001,-76.861605999999995,"57",57.000000000000000,265110.375000000000000,BEAU,613372.375000000000000,869782.943220000015572,WARO,{3F90AF96-A239-4317-B8EF-C2E07E68ED04},325932.636219129839446,26718483297.400001525878906
"190",07A-CDLF-1987,Beaufort County Demo Landfill,1342 Hawkins Beach Road,Washington,NC,"27889",Beaufort,CD,LF,InactiveClosed,,Closed,35.466484999999999,-76.860003000000006,"57",57.000000000000000,265110.375000000000000,BEAU,613372.375000000000000,869782.943220000015572,WARO,{3F90AF96-A239-4317-B8EF-C2E07E68ED04},325932.636219129839446,26718483297.400001525878906
"191",07B-LCID-,Washington City Of,Market Street,Washington,NC,"27889",Beaufort,LCID,LF,InactiveClosed,,Closed,35.565610999999997,-77.055751000000001,"57",57.000000000000000,265110.375000000000000,BEAU,613372.375000000000000,869782.943220000015572,WARO,{3F90AF96-A239-4317-B8EF-C2E07E68ED04},325932.636219129839446,26718483297.400001525878906
"192",07C-DEMO-,Washington City Of,Plymouth & 3rd Street,Washington,NC,"27889",Beaufort,CD,LF,InactiveClosed,,Closed,35.554595999999997,-77.070211999999998,"57",57.000000000000000,265110.375000000000000,BEAU,613372.375000000000000,869782.943220000015572,WARO,{3F90AF96-A239-4317-B8EF-C2E07E68ED04},325932.636219129839446,26718483297.400001525878906
"193",0801-MSWLF-1979,Bertie County Landfill,Charles Taylor Road (S.R. 1221),Republican,NC,"27805",Bertie,MSW,LF,InactiveClosed,,Closed,36.110663000000002,-77.047387999999998,"32",32.000000000000000,250455.500000000029104,BERT,474421.625000000000000,821702.725379999959841,WARO,{B87CDA3B-3C6C-4EF2-B459-491D410D2EC3},309956.703664652537555,20665792316.299999237060547
"194",0802-INDUS-1984,R J Reynolds Landfill,S.R. 1502,Merry Hill,NC,"27983",Bertie,Indus,LF,InactiveClosed,,Closed,35.997847999999998,-76.706706999999994,"32",32.000000000000000,250455.500000000029104,BERT,474421.625000000000000,821702.725379999959841,WARO,{B87CDA3B-3C6C-4EF2-B459-491D410D2EC3},309956.703664652537555,20665792316.299999237060547
"195",0803-MSWLF-1993,East Carolina Reg Landfill,1922 Republican Road,Aulander,NC,"27805",Bertie,MSW,LF,Active,2014/02/09,Open,36.120083000000001,-77.067633000000001,"32",32.000000000000000,250455.500000000029104,BERT,474421.625000000000000,821702.725379999959841,WARO,{B87CDA3B-3C6C-4EF2-B459-491D410D2EC3},309956.703664652537555,20665792316.299999237060547
"196",0901-MSWLF-1981,Bladen County Landfill,1522 Mercer Mill Road,Elizabethtown,NC,"28337",Bladen,MSW,LF,InactiveClosed,,Open,34.606175000000000,-78.611761999999999,"90",90.000000000000000,256743.343749999970896,BLAD,568139.562500000000000,842332.124650000012480,FRO,{51153D9A-2B0F-4EBC-A58A-0CBDF9AFFF7D},312205.998888352129143,24748144468.099998474121094
"197",0905-CDLF-2000,Bladen County C&D Landfill,1003 Mercer Mill Road,Elizabethtown,NC,"28337",Bladen,CD,LF,InactivePermitted,,Open,34.611181000000002,-78.596501000000004,"90",90.000000000000000,256743.343749999970896,BLAD,568139.562500000000000,842332.124650000012480,FRO,{51153D9A-2B0F-4EBC-A58A-0CBDF9AFFF7D},312205.998888352129143,24748144468.099998474121094
"198",10001-MSWLF-1987,Yancey-Mitchell Sanitary Landfill,Hwy 80/ Arbuckle Road,Burnsville,NC,"28714",Yancey,MSW,LF,InactiveClosed,,Closed,35.930270999999998,-82.178251000000003,"40",40.000000000000000,162933.187500000000000,YANC,200344.609375000000000,534556.633097999962047,ARO,{9EB7F279-3D51-4FAC-9B9D-EE2F995211F4},201437.157863327884115,8727005104.989999771118164
"199",10002-CDLF-1997,Yancey-Mitchell C&D Landfill,555 Landfill Road,Burnsville,NC,"28714",Yancey,CD,LF,InactiveClosed,2009/05/29,Open,35.930928000000002,-82.180768000000000,"40",40.000000000000000,162933.187500000000000,YANC,200344.609375000000000,534556.633097999962047,ARO,{9EB7F279-3D51-4FAC-9B9D-EE2F995211F4},201437.157863327884115,8727005104.989999771118164
"200",1001-INDUS-1980,Carolina Power & Light Co.,NC Highway 87,Southport,NC,"28461",Brunswick,Indus,LF,InactiveClosed,,Closed,33.964443000000003,-78.007574000000005,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"201",1002-MSWLF-,Southport Landfill,3905 St. James Drive S.E.,Southport,NC,"28461",Brunswick,MSW,LF,InactiveClosed,,Closed,33.958022000000000,-78.087551000000005,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"202",1003-MSWLF-1979,Cedar Grove Landfill,780 Standen Lane S.W.,Holden Beach,NC,"28462",Brunswick,MSW,LF,InactiveClosed,,Closed,33.966858999999999,-78.271501999999998,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"203",1004-MSWLF-,Ocean Isle Landfill,605-49 Yarbrough Street S.W.,Ocean Isle,NC,"28469",Brunswick,MSW,LF,InactiveClosed,,Closed,33.921303999999999,-78.446370999999999,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"204",1005-MSWLF-,Leland Landfill,1100 Lanvale Rd. N.E.,Leland,NC,"28451",Brunswick,MSW,LF,InactiveClosed,,Closed,34.233243999999999,-78.054664000000002,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"205",1006-INDUS-1984,Dupont Cape Fear Plant,3500 Daniels Road N.E.,Leland,NC,"28451",Brunswick,Indus,LF,InactiveClosed,,Closed,34.324038000000002,-78.053388999999996,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"206",1007-CDLF-1997,Brunswick County CDLF,172 Landfill Road NE,Bolivia,NC,"28422",Brunswick,CD,LF,Active,2014/03/28,Open,34.044051000000003,-78.258381000000000,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"207",1007-MSWLF-1983,Brunswick County Landfill,Galloway Road NE (S.R. 1401),Bolivia,NC,"28422",Brunswick,MSW,LF,InactiveClosed,,Closed,34.043503000000001,-78.260761000000002,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"208",10A-DEMO-1982,Somersett Site,6510 Burkeswood Lane N.W.,Shallotte,NC,"28469",Brunswick,CD,LF,InactiveClosed,,Closed,33.953921000000001,-78.484813000000003,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"209",10B-DEMO-1984,Dupont Cape Fear Plant,3500 Daniels Road N.E.,Leland,NC,"28451",Brunswick,CD,LF,InactiveClosed,,Closed,34.333877999999999,-78.053386000000003,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
"210",10C-DEMO-1983,Carolina Power & Light Co,Hwy 87,Southport,NC,"28461",Brunswick,CD,LF,InactiveClosed,,Closed,33.960495000000002,-78.006056999999998,"94",94.000000000000000,264296.781250000000000,BRUN,573643.125000000000000,867113.772115999949165,WIRO,{B0CE18F5-2B0F-41D2-ABBB-4F6A2802FB93},319453.376216716831550,24987879023.400001525878906
